,일자,석식메뉴
200,2016-11-24,"['또띠아피자', '브로컬리꽃맛살샐러드', '멸치주먹밥', '무피클', '잔치국수', '포기김치']"
201,2016-11-25,"['취나물', '요구르트', '장어강정', '된장찌개', '잡곡밥', '옥수수전', '포기김치', '쌀밥']"
202,2016-11-28,"['닭강정', '시금치된장국', '꽁치한마리구이', '잡곡밥', '겨울초겉절이', '포기김치', '쌀밥']"
203,2016-11-29,"['짬뽕', '참치주먹밥', '푸딩', '야채튀김', '홍시드레싱샐러드', '포기김치']"
204,2016-11-30,['없음']
205,2016-12-01,"['미소장국', '수제고로케*케찹', '단무지', '갈비만두', '김치볶음밥', '봄동겉절이']"
206,2016-12-02,"['미니함박조림', '오징어국', '오이사과생채', '연두부*양념장', '잡곡밥', '포기김치', '쌀밥']"
207,2016-12-05,"['포기김치', '코다리엿장조림', '잡곡밥', '매운감자국', '치커리단감무침', '쌀밥', '소고기숙주볶음']"
208,2016-12-06,"['음료', '유부초밥', '오이양배추피클', '단호박조림', '핫도그', '쌀국수', '포기김치']"
209,2016-12-07,"['취나물', '잡곡밥', '유린기', '잔멸치볶음', '부대찌개', '포기김치', '쌀밥']"
210,2016-12-08,"['단무지무침', '계란국', '해물볶음우동', '과일샐러드', '포기김치', '김밥']"
211,2016-12-09,"['모듬묵*양념장', '잡곡밥', '열무된장나물', '주꾸미볶음', '쇠고기무국', '포기김치', '쌀밥']"
212,2016-12-12,"['대구지리', '동그랑땡전', '잡곡밥', '유산슬', '도토리묵무침', '포기김치', '쌀밥']"
213,2016-12-13,"['양송이스프', '새우또띠아', '주먹밥', '음료', '포기김치', '오이피클', '토마토스파게티']"
214,2016-12-14,"['간장찜닭', '잡곡밥', '녹두전(김치)', '무생채', '포기김치', '매생이굴국', '쌀밥']"
215,2016-12-15,"['오므라이스', '해물떡볶이', '팽이장국', '식혜', '호빵', '봄동겉절이', '포기김치']"
216,2016-12-16,"['등갈비김치찜', '석박지', '들깨버섯무침', '잡곡밥', '숙주나물', '미역국', '쌀밥']"
217,2016-12-19,"['육개장', '호박나물', '잡곡밥', '쫄면야채무침', '탕수어', '포기김치', '쌀밥']"
218,2016-12-20,"['석박지', '오징어무침', '충무김밥', '고구마치즈구이', '잔치국수', '스틱단무지']"
219,2016-12-21,"['도라지초무침', '알탕', '해물파전', '잡곡밥', '돈육장조림', '포기김치', '쌀밥']"
220,2016-12-22,"['작은밥', '메추리알조림', '배추겉절이', '바지락수제비', '사천식탕수육', '귤']"
221,2016-12-23,"['알타리김치', '고등어카레구이', '궁중떡볶음', '잡곡밥', '참나물', '돈육김치찌개', '쌀밥']"
222,2016-12-26,"['청국장찌개', '가자미양념찜', '김구이', '깍두기', '잡곡밥', '훈제오리냉채', '쌀밥']"
223,2016-12-27,"['피클', '아이스슈', '맑은국', '돈육강정', '흑임자시금치샐러드', '포기김치', '해물굴소스볶음밥']"
224,2016-12-28,['없음']
225,2016-12-29,"['알타리김치', '쇠고기퀘사디아', '*발사믹소스', '참치주먹밥', '구운채소', '김치우동', '과일']"
226,2016-12-30,"['잡곡밥', '닭볶음탕', '마늘쫑건새우볶음', '봄동된장국', '꼬막찜', '포기김치', '쌀밥']"
227,2017-01-02,"['시래기조림', '매운오징어국', '잡곡밥', '목살간장조림', '두부부침', '포기김치', '쌀밥']"
228,2017-01-03,"['유부주머니국', '수제고로케', '참치회덮밥', '피크닉', '포기김치', '멕시칸샐러드']"
229,2017-01-04,"['감자찌개', '잡곡밥', '닭데리야끼구이', '김가루잔파무침', '새송이버섯볶음', '포기김치', '쌀밥']"
230,2017-01-05,"['팽이장국', '마파두부덮밥', '류산슬', '조각티라미수', '포기김치', '비빔야채만두']"
231,2017-01-06,"['등갈비묵은지찜', '모듬소세지구이', '깍두기', '잡곡밥', '들깨무채국', '청포묵무침', '쌀밥']"
232,2017-01-09,"['치킨무', '김자반', '잡곡밥', '양파치킨', '도토리묵무침', '포기김치', '쌀밥', '콩비지찌개']"
233,2017-01-10,"['피클', '가쯔오국', '애플망고두유', '딸기드레싱샐러드', '로제스파게티', '김치참치주먹밥', '포기김치']"
234,2017-01-11,"['간장깻잎지', '잡곡밥', '메밀전병만두', '해물된장찌개', '제육볶음', '포기김치', '쌀밥']"
235,2017-01-12,"['해파리냉채', '삼치된장구이', '아삭고추무침', '잡곡밥', '포기김치', '뼈감자탕', '쌀밥']"
236,2017-01-13,"['애호박나물', '소고기장조림', '시래기국', '잡곡밥', '김치전', '포기김치', '쌀밥']"
237,2017-01-16,"['매운돼지갈비찜', '감자국', '잡곡밥', '크랜베리멸치볶음', '오이생채', '포기김치', '쌀밥']"
238,2017-01-17,"['닭강정', '맑은국', '후난식볶음밥', '고구마그라탕', '포기김치', '조각사과']"
239,2017-01-18,"['쇠고기샤브국', '견과류조림', '잡곡밥', '쫄면무침', '갈치양념조림', '포기김치', '쌀밥']"
240,2017-01-19,"['단무지무침', '새우튀김우동', '펜네베이컨샐러드', '음료', '포기김치', '김밥']"
241,2017-01-20,"['부추호박전', '깍두기', '도라지나물', '잡곡밥', '해물청경채볶음', '부대찌개', '쌀밥']"
242,2017-01-23,"['버섯탕수', '세발나물무침', '꽁치한마리구이', '잡곡밥', '쇠고기매운국', '포기김치', '쌀밥']"
243,2017-01-24,"['쇠고기퀘사디아', '멸치주먹밥', '시금치흑임자샐러드', '무피클', '잔치국수', '포기김치']"
244,2017-01-25,['없음']
245,2017-01-26,"['메추리알곤약조림', '시래기들깨탕', '돈육강정', '잡곡밥', '물파래무침', '포기김치', '쌀밥']"
246,2017-01-31,"['해물까스*탈탈소스', '꼬지어묵우동', '내사랑포도', '피클', '콘샐러드', '김치볶음밥', '포기김치']"
247,2017-02-01,"['장어강정', '잡곡밥', '차돌박이찌개', '통도라지구이', '어묵꽈리고추볶음', '포기김치', '쌀밥']"
248,2017-02-02,"['단무지무침', '메쉬드포테이토', '장국', '쇠고기덮밥', '야채튀김', '포기김치']"
249,2017-02-03,"['깍두기', '동그랑땡전', '잡곡밥', '고등어김치말이', '미역줄기볶음', '쌀밥', '소고기무국']"
250,2017-02-06,"['모듬소세지구이', '잡곡밥', '사골우거지국', '탕수어', '포기김치', '청경채무침', '쌀밥']"
251,2017-02-07,"['돈육굴소스볶음', '깍두기', '해물파전', '순두부찌개', '잡곡밥', '시금치나물', '귤', '쌀밥']"
252,2017-02-08,"['열무된장국', '잡곡밥', '쫑상추무침', '두부찜', '김치볶음', '삼겹살구이', '쌀밥']"
253,2017-02-09,"['유부초밥', '푸실리샐러드', '바나나', '순대오징어볶음', '쌀국수', '포기김치']"
254,2017-02-10,"['감자채볶음', '청국장찌개', '미니함박조림', '잡곡밥', '포기김치', '콩나물무침', '쌀밥']"
255,2017-02-13,"['고등어구이', '잡곡밥', '비엔나감자볶음', '부대찌개', '물파래무침', '포기김치', '쌀밥']"
256,2017-02-14,"['맑은국', '짜장덮밥', '음료', '단무지', '사천식탕수육', '과일샐러드', '포기김치']"
257,2017-02-15,"['오징어국', '잡곡밥', '황태양념구이', '돈육장조림', '시금치나물', '포기김치', '쌀밥']"
258,2017-02-16,"['오므라이스', '알타리김치', '떡볶이', '치킨텐더', '가쯔오장국', '오렌지']"
259,2017-02-17,"['세발나물', '잡곡밥', '계란말이', '고추잡채*꽃빵', '포기김치', '쌀밥', '콩비지찌개']"
260,2017-02-20,"['콩나물냉채', '간장찜닭', '잡곡밥', '얼갈이된장국', '호박반달나물', '포기김치', '쌀밥']"
261,2017-02-21,"['꽃맛살샐러드', '날치알김치볶음밥', '미역장국', '쇠고기퀘사디아', '음료', '포기김치']"
262,2017-02-22,['없음']
263,2017-02-23,"['석박지', '참치주먹밥', '김치우동', '케이준샐러드', '오이피클', '단호박범벅']"
264,2017-02-24,"['가자미양념찜', '쇠고기샤브국', '잡곡밥', '고기전', '청경채사과무침', '포기김치', '쌀밥']"
265,2017-02-27,"['황태국', '풋마늘대무침', '연두부*양념장', '잡곡밥', '짬뽕불고기', '포기김치', '쌀밥']"
266,2017-02-28,"['옥수수맛탕', '꼬치어묵탕', '쫄면야채무침', '포기김치', '하와이안샐러드', '김밥']"
267,2017-03-02,"['후난식볶음밥', '새우또띠아', '견과류조림', '음료', '잔치국수', '포기김치', '오렌지']"
268,2017-03-03,"['소고기모듬장조림', '양념깻잎지', '잡곡밥', '해물된장찌개', '비엔나케찹볶음', '포기김치', '쌀밥']"
269,2017-03-06,"['홍어채무침', '쇠불고기', '깍두기', '모듬묵*양념장', '잡곡밥', '김치두부국', '쌀밥']"
270,2017-03-07,"['수제고로케', '맑은국', '참치야채비빔밥', '딸기생크림와플', '음료', '포기김치', '락교']"
271,2017-03-08,"['잡곡밥', '코다리강정', '배추겉절이', '차돌박이찌개', '무생채', '돈육잡채', '쌀밥']"
272,2017-03-09,"['김밥볶음밥', '팽이장국', '봄나물튀김', '볶음우동', '포기김치', '스틱단무지']"
273,2017-03-10,"['궁중떡찜', '잡곡밥', '양배추쌈', '제육볶음(빨갛게)', '포기김치', '미역국', '쌀밥']"
274,2017-03-13,"['육개장', '잡곡밥', '모듬소시지구이', '셀프무쌈말이', '갈치조림', '포기김치', '쌀밥']"
275,2017-03-14,"['콩나물밥', '치커리유자무침', '메추리알조림', '가쯔오장국', '주꾸미볶음', '포기김치']"
276,2017-03-15,"['등갈비김치찜', '취나물', '깍두기', '새싹두부구이', '잡곡밥', '북어계란국', '쌀밥']"
277,2017-03-16,"['김치말이국수', '꽃맛살샐러드', '꼬들단무지', '훈제오리냉채', '멸치주먹밥', '포기김치']"
278,2017-03-17,"['마파두부', '미니함박조림', '열무된장국', '잡곡밥', '포기김치', '청경채무침', '쌀밥']"
279,2017-03-20,"['브로컬리오징어숙회', '누룽지탕수육', '잡곡밥', '매운버섯국', '비트무생채', '포기김치', '쌀밥']"
280,2017-03-21,"['미소장국', '크림새우', '로제파스타', '마늘빵', '베이컨김치볶음밥', '포기김치', '오이피클']"
281,2017-03-22,['없음']
282,2017-03-23,"['통새우김밥', '단무지무침', '짬뽕', '고구마치즈구이', '콘샐러드', '포기김치']"
283,2017-03-24,"['닭강정', '카레감자채볶음', '잡곡밥', '연두부탕', '포기김치', '치커리사과무침', '쌀밥']"
284,2017-03-27,"['고등어구이', '해파리냉채', '깍두기', '잡곡밥', '취나물된장무침', '부대찌개', '쌀밥']"
285,2017-03-28,"['맑은국', '음료', '해물볶음밥', '고구마튀김', '포기김치', '멕시칸샐러드', '비빔메밀국수']"
286,2017-03-29,"['잡곡밥', '돈까스', '꽈리고추어묵조림', '영양부추무침', '포기김치', '우거지탕', '쌀밥']"
287,2017-03-30,"['유부우동', '핫도그&케찹', '석박지', '충무김밥', '오징어무침', '오렌지']"
288,2017-03-31,"['궁중떡볶음', '잡곡밥', '동태콩나물찜', '봄동된장국', '우엉조림', '포기김치', '쌀밥']"
289,2017-04-03,"['아삭고추무침', '잡곡밥', '고기전', '가자미카레튀김', '포기김치', '쌀밥', '콩비지찌개']"
290,2017-04-04,"['참치주먹밥', '오징어순대볶음', '시금치흑임자샐러드', '무피클', '쌀국수', '포기김치']"
291,2017-04-05,"['미역장국', '유자청돈육볶음', '모듬쌈', '잡곡밥', '두부계란부침', '포기김치', '쌀밥']"
292,2017-04-06,"['유부주머니국', '열무김치', '펜네베이컨샐러드', '쇠고기퀘사디아', '계란', '오복지무침', '김치볶음밥']"
293,2017-04-07,"['깻잎찜', '잡곡밥', '매운어묵국', '비엔나감자볶음', '순살닭갈비', '포기김치', '쌀밥']"
294,2017-04-10,"['해초무침', '잡곡밥', '해물김치전', '치즈시즈닝치킨', '무채국', '포기김치', '쌀밥']"
295,2017-04-11,"['미소장국', '땅콩조림', '피클', '블루베리드레싱샐러드', '잡곡밥', '카레돈까스정식', '포기김치', '쌀밥']"
296,2017-04-12,"['치커리무침', '순두부찌개', '잡곡밥', '메밀전병만두', '삼치구이', '포기김치', '과일', '쌀밥']"
297,2017-04-13,"['오이생채', '시리얼과일샐러드', '음료', '유부초밥', '수제핫도그', '잔치국수', '포기김치']"
298,2017-04-14,"['청국장찌개', '깍두기', '잡곡밥', '황태양념구이', '돈육장조림', '미역줄기볶음', '쌀밥']"
299,2017-04-17,"['동그랑땡계란부침', '잡곡밥', '고등어조림', '하루나무침', '쇠고기무국', '포기김치', '쌀밥']"
300,2017-04-18,"['치킨핑거*요거트D', '또띠아칩', '방울토마토', '야채볶음밥', '단무지', '나가사끼짬뽕', '포기김치']"
301,2017-04-19,"['석박지', '양배추쌈*쌈장', '잡곡밥', '햄감자채볶음', '닭개장', '갈치구이', '쌀밥']"
302,2017-04-20,"['오므라이스', '떡볶이', '가쯔오장국', '고구마치즈구이', '포기김치', '오렌지']"
303,2017-04-21,"['열무된장국', '연두부*양념장', '잡곡밥', '돈육강정', '참나물땅콩무침', '포기김치', '쌀밥']"
304,2017-04-24,"['쇠고기숙주볶음', '오징어국', '오이미역무침', '잡곡밥', '두부오꼬노미야끼', '포기김치', '쌀밥']"
305,2017-04-25,"['꽃맛살샐러드', '양송이스프', '멸치주먹밥', '바나나', '무피클', '포기김치', '토마토스파게티']"
306,2017-04-26,['없음']
307,2017-04-27,"['크림카레우동', '왕만두', '키위드레싱샐러드', '닭갈비볶음밥', '포기김치', '어묵국']"
308,2017-04-28,"['치커리무침', '모듬소세지구이', '잡곡밥', '주꾸미떡볶음', '얼갈이된장국', '포기김치', '쌀밥']"
309,2017-05-02,"['돈육굴소스볶음', '순두부찌개', '잡곡밥', '계란찜', '쫑상추무침', '포기김치', '쌀밥']"
310,2017-05-04,"['유부주머니국', '오렌지주스', '미니버거', '야채비빔만두', '야채볶음밥', '포기김치', '스틱단무지']"
311,2017-05-08,"['육개장', '열무김치', '잡곡밥', '도라지생채', '꽃맛살볶음', '쌀밥', '꽁치오븐구이']"
312,2017-05-10,"['잡곡밥', '해물김치전', '닭오븐구이', '취나물된장무침', '연두부탕', '포기김치', '쌀밥']"
313,2017-05-11,"['짜장소스', '맑은국', '망고드레싱샐러드', '단무지', '볶음밥', '사천식탕수육', '포기김치']"
314,2017-05-12,"['돼지갈비찜', '청국장찌개', '잡곡밥', '방풍나물', '계란말이', '포기김치', '쌀밥']"
315,2017-05-15,"['잡곡밥', '연근땅콩조림', '셀프무쌈말이', '닭개장', '가자미카레튀김', '포기김치', '쌀밥']"
316,2017-05-16,"['꼬마김밥*겨자장', '감자만두', '잔치국수', '포기김치', '오이피클', '멕시칸샐러드']"
317,2017-05-17,"['비엔나컬리플라워볶음', '잡곡밥', '얼갈이나물', '갈치양념조림', '차돌박이찌개', '포기김치', '쌀밥']"
318,2017-05-18,"['고구마범벅', '잡곡밥', '음료', '양배추샐러드', '옛날돈가스', '옥수수스프', '포기김치', '쌀밥']"
319,2017-05-19,"['쇠고기숙주볶음', '열무김치', '잡곡밥', '배추된장국', '무생채', '청포묵무침', '쌀밥']"
320,2017-05-22,"['잡곡밥', '코다리조림', '오이무침', '바나나', '연두부찌개', '포기김치', '순대야채볶음', '쌀밥']"
321,2017-05-23,"['아이스슈', '짬뽕', '단무지', '볶음밥', '탕수육', '포기김치']"
322,2017-05-24,"['가지나물', '잡곡밥', '모둠장조림', '해라피겨자채', '꽃게탕', '포기김치', '쌀밥']"
323,2017-05-25,"['수제고로케', '유부장국', '마파두부덮밥', '쨔샤이무침', '생과일플레인샐러드', '포기김치']"
324,2017-05-26,"['해물까스*칠리소스', '치즈닭갈비', '된장찌개', '잡곡밥', '깻잎양념찜', '포기김치', '쌀밥']"
325,2017-05-29,"['우거지해장국', '잡곡밥', '고기전', '임연수엿장조림', '두반장가지볶음', '포기김치', '쌀밥']"
326,2017-05-30,"['맑은국', '바나나와플', '단무지', '쫄면야채무침', '포기김치', '오징어튀김', '김밥']"
327,2017-05-31,['없음']
328,2017-06-01,"['피클', '단호박스프', '샐러드', '주먹밥', '음료', '마늘빵', '로제스파게티', '포기김치']"
329,2017-06-02,"['잡곡밥', '도라지채무침', '팝콘치킨*데리야끼소스', '두부새싹구이', '새알만두국', '포기김치', '쌀밥']"
330,2017-06-05,"['우엉잡채', '잡곡밥', '감자고추장찌개', '오이생채', '탕수어', '포기김치', '쌀밥']"
331,2017-06-07,"['돼지갈비찜', '오징어브로컬리', '취나물', '열무된장국', '잡곡밥', '*초장', '포기김치', '쌀밥']"
332,2017-06-08,"['옥수수샐러드', '김밥볶음밥', '냉모밀국수', '야채튀김', '포기김치', '조각사과']"
333,2017-06-09,"['가자미양념찜', '잡곡밥', '닭살겨자냉채', '쇠고기미역국', '시금치나물', '포기김치', '쌀밥']"
334,2017-06-12,"['된장찌개', '잡곡밥', '돈육강정', '옥수수전', '포기김치', '청경채무침', '쌀밥']"
335,2017-06-13,"['미소장국', '모둠과일', '고구마치즈구이', '참치회덮밥', '포기김치', '락교']"
336,2017-06-14,"['머위대나물', '미트볼케찹조림', '알탕', '잡곡밥', '잔멸치볶음', '포기김치', '쌀밥']"
337,2017-06-15,"['꽃맛살샐러드', '부추만두', '열무김치국수', '단무지', '볶음밥', '포기김치']"
338,2017-06-16,"['참치김치찌개', '깍두기', '가지나물', '잡곡밥', '올방개묵무침', '쇠고기장조림', '쌀밥']"
339,2017-06-19,"['매운어묵볶음', '참나물땅콩가루무침', '닭데리야끼조림', '감자국', '잡곡밥', '포기김치', '쌀밥']"
340,2017-06-20,"['미역장국', '핫도그&케찹', '석박지', '충무김밥', '오징어무침', '오렌지']"
341,2017-06-21,"['잡곡밥', '해물된장찌개', '황태양념구이', '고추잡채*꽃빵', '포기김치', '청포묵무침', '쌀밥']"
342,2017-06-22,"['소고기주먹밥', '또띠아피자', '흑임자샐러드', '피클', '쌀국수', '포기김치', '피크닉']"
343,2017-06-23,"['깍두기', '잡곡밥', '방풍나물', '탕수어', '두부카프레제', '쌀밥', '콩비지찌개']"
344,2017-06-26,"['오이지무침', '통도라지구이', '잡곡밥', '연두부찌개', '탕수육', '포기김치', '쌀밥']"
345,2017-06-27,"['작은밥', '모둠묵샐러드', '배추겉절이', '탄두리치킨', '수박', '콩국수']"
346,2017-06-28,['없음']
347,2017-06-29,"['빠에야', '해초무침', '올챙이만두국', '웨지감자', '포기김치', '하와이안샐러드']"
348,2017-06-30,"['청국장찌개', '치커리무침', '장어강정', '잡곡밥', '오꼬노미야끼계란말이', '포기김치', '쌀밥']"
349,2017-07-03,"['육개장', '고등어카레구이', '잡곡밥', '마늘쫑무침', '꽃맛살볶음', '포기김치', '쌀밥']"
350,2017-07-04,"['닭강정', '후난식볶음밥', '고구마그라탕', '가쯔오장국', '무피클', '포기김치']"
351,2017-07-05,"['대구찌개', '돈육굴소스볶음', '잡곡밥', '김치녹두전', '꽃상추무침', '포기김치', '쌀밥']"
352,2017-07-06,"['수제고로케', '찐옥수수', '키위드레싱샐러드', '잔치국수', '포기김치', '김밥']"
353,2017-07-07,"['해물까스*탈탈소스', '순두부찌개', '탕평채', '잡곡밥', '시금치나물', '포기김치', '쌀밥']"
354,2017-07-10,"['비름나물', '감자국', '잡곡밥', '건새우마늘쫑볶음', '사천식탕수육', '포기김치', '쌀밥']"
355,2017-07-11,"['오므라이스', '미소장국', '오렌지주스', '새우또띠아', '포기김치', '감자범벅']"
356,2017-07-12,"['잡곡밥', '노각무침', '모둠장조림', '해물된장찌개', '포기김치', '참치야채전', '쌀밥']"
357,2017-07-13,"['김치말이국수', '꽃맛살샐러드', '열무김치', '유부초밥', '풋고추튀김', '무초절이']"
358,2017-07-14,"['감자채볶음', '고추장찌개', '미니함박조림', '잡곡밥', '포기김치', '청경채무침', '쌀밥']"
359,2017-07-17,"['소고기장조림', '잡곡밥', '꽃게탕', '사과맛살초무침', '꽈리고추찜', '포기김치', '쌀밥']"
360,2017-07-18,"['단호박스프', '시리얼과일샐러드', '수제피클', '목살필라프', '포기김치', '토마토스파게티']"
361,2017-07-19,"['호박잎된장찌개', '언양식불고기', '잡곡밥', '코다리강정', '시금치나물', '포기김치', '쌀밥']"
362,2017-07-20,"['유부장국', '단무지', '카레라이스', '해물볶음우동', '매실쥬스', '찐햇감자', '포기김치']"
363,2017-07-21,"['육개장', '꽁치구이', '잡곡밥', '무생채', '포기김치', '궁중떡볶이', '쌀밥']"
364,2017-07-24,"['알타리김치', '간장깻잎지', '잡곡밥', '고등어조림', '고추잡채*꽃빵', '쌀밥', '콩가루배추국']"
365,2017-07-25,"['빠에야', '락교', '냉모밀국수', '포기김치', '비빔야채만두', '하와이안샐러드']"
366,2017-07-26,['없음']
367,2017-07-27,"['미역장국', '마파두부덮밥', '찐옥수수', '탕수육', '포기김치', '멕시칸샐러드']"
368,2017-07-28,"['생선까스*탈탈소스', '감자채볶음', '열무김치', '가지나물', '잡곡밥', '닭개장', '쌀밥']"
369,2017-07-31,"['돈육씨앗강정', '아욱국', '삼치된장구이', '잡곡밥', '포기김치', '청경채무침', '쌀밥']"
370,2017-08-01,"['김밥볶음밥', '훈제오리냉채', '잔치국수', '비트무피클', '포기김치', '감자범벅']"
371,2017-08-02,"['알타리김치', '견과류조림', '잡곡밥', '도토리묵무침', '탕수어', '느타리버섯국', '쌀밥']"
372,2017-08-03,"['콩나물밥', '부추생채', '가쯔오장국', '쇠고기장조림', '포기김치', '실곤약흑임자무침']"
373,2017-08-04,"['*천도복숭아', '치킨텐더', '잡곡밥', '차돌박이찌개', '꽃맛살볶음', '비름나물', '포기김치', '쌀밥']"
374,2017-08-07,"['등갈비김치찜', '열무김치', '잡곡밥', '메밀전병만두', '해파리겨자채', '근대국', '쌀밥']"
375,2017-08-08,"['가쯔오장국', '단무지', '야채튀김', '과일샐러드', '포기김치', '해물굴소스볶음밥', '비빔메밀국수']"
376,2017-08-09,"['석박지', '잡곡밥', '고등어조림', '계란말이', '건파래무침', '뼈해장국', '쌀밥']"
377,2017-08-10,"['떡볶이', '멸치주먹밥', '무초절이', '케이준샐러드', '포기김치', '물냉면']"
378,2017-08-11,"['오징어국', '잡곡밥', '모둠버섯구이', '깐풍기', '포기김치', '쑥갓두부무침', '쌀밥']"
379,2017-08-14,"['해물파전', '열무김치', '잡곡밥', '도라지생채', '양파치킨', '쌀밥', '콩가루배추국']"
380,2017-08-16,"['돼지갈비찜', '콩나물국', '잡곡밥', '풍기샐러드', '쫑상추무침', '포기김치', '쌀밥']"
381,2017-08-17,"['어묵우동', '미니햄버거', '배추겉절이', '요플레', '김치볶음밥', '단호박범벅']"
382,2017-08-18,"['유자청제육볶음', '잡곡밥', '해물순두부찌개', '숙주나물', '포기김치', '두부카프레제', '쌀밥']"
383,2017-08-21,"['참치김치찌개', '가지무침', '열무김치', '안동찜닭', '잡곡밥', '잡채', '쌀밥']"
384,2017-08-22,"['유부주머니국', '석박지', '충무김밥', '음료', '파스타샐러드', '핫도그', '오징어무침']"
385,2017-08-23,"['청국장찌개', '동그랑땡전', '부추생채', '잡곡밥', '돈육모듬장조림', '포기김치', '쌀밥']"
386,2017-08-24,"['콥샐러드', '열무김치', '타코야끼', '김치주먹밥', '콩국수', '오렌지']"
387,2017-08-25,"['생선까스*탈탈소스', '고추장찌개', '잡곡밥', '무나물', '닭살냉채', '포기김치', '쌀밥']"
388,2017-08-28,"['김구이', '열무김치', '잡곡밥', '고등어김치말이', '옥수수전', '닭곰탕', '쌀밥']"
389,2017-08-29,"['꽃맛살샐러드', '냉모밀국수', '깐풍육', '오복지', '유부초밥', '포기김치']"
390,2017-08-30,"['잡곡밥', '메밀전', '해물청경채볶음', '부대찌개', '포기김치', '청포묵무침', '쌀밥']"
391,2017-08-31,"['옛날돈까스', '브로컬리크림스프', '고구마범벅', '잡곡밥', '음료', '무피클', '키위드레싱샐러드', '포기김치', '쌀밥']"
392,2017-09-01,['없음']
393,2017-09-04,"['모듬소세지구이', '열무김치', '가지나물', '잡곡밥', '가자미튀김', '콩나물김치국', '쌀밥']"
394,2017-09-05,"['크림카레우동', '감자만두', '샐러드', '가쯔오장국', '*흑임자드레싱', '비트무생채', '닭갈비볶음밥', '포기김치']"
395,2017-09-06,"['홍어채무침', '돈육굴소스볶음', '양념깻잎지', '잡곡밥', '해물된장찌개', '포기김치', '쌀밥']"
396,2017-09-07,"['짜장소스', '맑은국', '*망고드레싱', '단무지', '볶음밥', '고추잡채*꽃빵', '포기김치', '컬리플라워샐러드']"
397,2017-09-08,"['알타리김치', '멸치아몬드볶음', '잡곡밥', '유린기', '쌀밥', '청경채무침', '콩비지찌개']"
398,2017-09-11,"['검정콩조림', '열무김치', '잡곡밥', '쫄면무침', '주꾸미굴소스볶음', '쌀밥', '소고기무국']"
399,2017-09-12,"['떡볶이', '음료', '단무지', '야채튀김', '잔치국수', '포기김치', '김밥']"
400,2017-09-13,"['돼지갈비찜', '볼어묵곤약볶음', '잡곡밥', '쑥갓두부무침', '포기김치', '미역국', '쌀밥']"
401,2017-09-14,"['빠에야', '쨔샤이무침', '고구마오븐구이', '쌀국수', '포기김치', '하와이안샐러드']"
402,2017-09-15,"['단배추나물', '된장찌개', '잡곡밥', '황태양념구이', '돈육간장강정', '포기김치', '쌀밥']"
