,일자,중식메뉴
0,2016-02-01,"['쇠불고기', '오징어찌개', '요구르트', '잡곡밥', '계란찜', '포기김치', '청포묵무침', '쌀밥']"
1,2016-02-02,"['요구르트', '잡곡밥', '배추겉절이', '마늘쫑무침', '모둠소세지구이', '가자미튀김', '김치찌개', '쌀밥']"
2,2016-02-03,"['카레덮밥', '치킨핑거', '팽이장국', '요구르트', '견과류조림', '쫄면야채무침', '포기김치']"
3,2016-02-04,"['요구르트', '잡곡밥', '부추전', '주꾸미볶음', '쇠고기무국', '시금치나물', '포기김치', '쌀밥']"
4,2016-02-05,"['돈육씨앗강정', '우엉잡채', '떡국', '요구르트', '잡곡밥', '포기김치', '청경채무침', '쌀밥']"
5,2016-02-11,"['시래기국', '쌈무', '요구르트', '잡곡밥', '훈제오리구이', '양파절임', '도토리묵무침', '포기김치', '쌀밥']"
6,2016-02-12,"['유채나물', '돈육굴소스볶음', '요구르트', '잡곡밥', '옥수수전', '꽃게탕', '포기김치', '쌀밥']"
7,2016-02-15,"['요구르트', '연두부*양념장', '잡곡밥', '닭감자조림', '포기김치', '쌀밥', '콩나물무침', '시금치국']"
8,2016-02-16,"['취나물', '오징어숙회무침', '요구르트', '잡곡밥', '쇠고기무국', '탕수어', '포기김치', '쌀밥']"
9,2016-02-17,"['치커리무침', '냉이된장국', '요구르트', '잡곡밥', '통도라지구이', '쇠고기장조림', '포기김치', '쌀밥']"
10,2016-02-18,"['유부장국', '해초무침', '요구르트', '고구마치즈구이', '낙지비빔밥', '포기김치']"
11,2016-02-19,"['대구찌개', '치킨무', '요구르트', '잡곡밥', '돌나물무침', '마늘간장치킨', '새송이버섯볶음', '포기김치', '쌀밥']"
12,2016-02-22,"['부럼', '요구르트', '호박꼬지&고사리&무나물', '쇠고기느타리국', '갈치구이', '포기김치', '오곡밥', '파래김*양념장', '쌀밥']"
13,2016-02-23,"['요구르트', '콩나물국', '잡곡밥', '돈육간장볶음', '꽃상추무침', '버섯잡채', '포기김치', '쌀밥']"
14,2016-02-24,"['팽이장국', '비빔밥', '요구르트', '소세지피망볶음', '맛탕', '포기김치', '귤']"
15,2016-02-25,"['요구르트', '새싹두부구이', '잡곡밥', '곰피초장', '북어계란국', '포기김치', '닭갈비', '쌀밥']"
16,2016-02-26,"['도라지초무침', '요구르트', '잡곡밥', '오징어볶음', '수제비국', '계란찜', '포기김치', '쌀밥']"
17,2016-02-29,"['늙은호박전', '요구르트', '잡곡밥', '제육볶음', '얼갈이된장국', '치커리생채', '포기김치', '쌀밥']"
18,2016-03-02,"['맛살계란말이', '아삭고추무침', '잡곡밥', '주꾸미볶음', '쇠고기미역국', '포기김치', '쌀밥']"
19,2016-03-03,"['요구르트', '새송이버섯조림', '근대된장국', '잡곡밥', '무생채', '탕수육', '포기김치', '쌀밥']"
20,2016-03-04,"['깍두기', '메추리알조림', '잡곡밥', '열무된장나물', '가자미튀김', '부대찌개', '쌀밥']"
21,2016-03-07,"['콩나물국', '잡곡밥', '모둠묵*양념장', '포기김치', '닭갈비', '톳두부무침', '쌀밥']"
22,2016-03-08,"['깍두기', '잡곡밥', '고등어김치말이', '풋마늘초무침', '차돌박이찌개', '소세지구이', '쌀밥']"
23,2016-03-09,"['잡곡밥', '홍어무침', '돈육장조림', '북어국', '시금치나물', '포기김치', '쌀밥']"
24,2016-03-10,"['고추장찌개', '취나물', '해물파전', '닭데리야끼조림', '잡곡밥', '포기김치', '쌀밥']"
25,2016-03-11,"['수제돈가스', '탕평채', '잡곡밥', '배추된장국', '쫄면무침', '포기김치', '쌀밥']"
26,2016-03-14,"['모둠양채쌈*쌈장', '잡곡밥', '돈육고추장볶음', '포기김치', '쌀밥', '콩나물파채무침', '어묵국']"
27,2016-03-15,"['골뱅이무침*소면', '잡곡밥', '마늘쫑볶음', '쑥국', '소불고기', '포기김치', '쌀밥']"
28,2016-03-16,"['곤드레밥', '무나물', '두부계란부침', '포기김치', '미니채소떡갈비', '콩나물김치국']"
29,2016-03-17,"['깍두기', '잡곡밥', '사골우거지국', '깻순나물', '탕수어', '파래김*양념장', '쌀밥']"
30,2016-03-18,"['부추생채', '쌈무', '잡곡밥', '연근땅콩조림', '훈제오리구이', '포기김치', '쌀밥', '시금치국']"
31,2016-03-21,"['버섯불고기', '잡곡밥', '꽃게탕', '계란말이', '도토리묵무침', '포기김치', '쌀밥']"
32,2016-03-22,"['유채나물', '깍두기', '쇠고기샤브국', '두부&김치볶음', '잡곡밥', '코다리강정', '쌀밥']"
33,2016-03-23,"['땅콩조림', '실곤약초무침', '맑은국', '치킨텐더*요거트D', '콩나물밥*달래장', '포기김치']"
34,2016-03-24,"['잡곡밥', '시래기나물', '북어계란국', '쇠고기장조림', '포기김치', '오징어초무침', '쌀밥']"
35,2016-03-25,"['잡곡밥', '자반고등어구이', '비엔나볶음', '배추겉절이', '닭개장', '열무나물', '쌀밥']"
36,2016-03-28,"['해파리냉채', '취나물', '잡곡밥', '얼갈이된장국', '포기김치', '닭갈비', '쌀밥']"
37,2016-03-29,"['잡곡밥', '옹심이만두국', '새송이버섯전', '주꾸미볶음', '치커리유자청생채', '포기김치', '쌀밥']"
38,2016-03-30,"['알감자버터구이', '쪽파국', '오렌지', '봄새싹비빔밥', '포기김치', '오징어튀김']"
39,2016-03-31,"['돈육굴소스볶음', '봄동나물', '매운콩나물국', '동태전', '잡곡밥', '포기김치', '쌀밥']"
40,2016-04-01,"['우엉잡채', '아삭고추무침', '잡곡밥', '갈치조림', '포기김치', '버섯들깨탕', '쌀밥']"
41,2016-04-04,"['쇠불고기', '브로컬리맛살볶음', '순두부찌개', '잡곡밥', '풋마늘초무침', '포기김치', '쌀밥']"
42,2016-04-05,"['잡곡밥', '오징어볶음*소면', '모둠소시지구이', '북어국', '시금치나물', '포기김치', '쌀밥']"
43,2016-04-06,"['올갱이아욱국', '잡곡밥', '제육볶음', '두부조림', '모둠쌈*쌈장', '포기김치', '쌀밥']"
44,2016-04-07,"['매운돼지갈비찜', '해물파전', '잡곡밥', '무생채', '포기김치', '쌀밥', '어묵국']"
45,2016-04-08,"['메추리알조림', '잡곡밥', '배추된장국', '포기김치', '콩나물무침', '순살양념치킨', '쌀밥']"
46,2016-04-11,"['시래기국', '잡곡밥', '무쌈', '풋마늘초무침', '훈제오리구이', '양파절임', '포기김치', '쌀밥']"
47,2016-04-12,"['잡곡밥', '쇠고기단호박조림', '부대찌개', '시금치나물', '열무나물', '포기김치', '쌀밥']"
48,2016-04-14,"['돈육굴소스볶음', '잡곡밥', '수제비국', '양배추쌈', '무생채', '포기김치', '쌀밥']"
49,2016-04-15,"['도라지초무침', '닭데리야끼조림', '잡곡밥', '포기김치', '쌀밥', '콩나물무침', '냉이된장찌개']"
50,2016-04-18,"['콩나물잡채', '잡곡밥', '배추된장국', '돈육강정', '브로컬리두부무침', '포기김치', '쌀밥']"
51,2016-04-19,"['육개장', '해초무침', '꽁치한마리구이', '잡곡밥', '고기전', '포기김치', '쌀밥']"
52,2016-04-20,"['콩나물밥', '부추생채', '근대된장국', '매콤떡갈비조림', '포기김치', '청포묵무침']"
53,2016-04-21,"['잡곡밥', '옥수수전', '청경채생채', '쇠고기볶음', '대구매운탕', '포기김치', '쌀밥']"
54,2016-04-22,"['등갈비김치찜', '열무김치', '잡곡밥', '연근조림', '깻잎양념지', '북어국', '쌀밥']"
55,2016-04-25,"['돈간장불고기', '콩나물국', '잡곡밥', '버섯볶음', '김치전', '포기김치', '쌀밥']"
56,2016-04-26,"['풋마늘대무침', '잡곡밥', '주꾸미볶음', '쇠고기무국', '치즈계란말이', '포기김치', '쌀밥']"
57,2016-04-27,"['미소장국', '알감자버터구이', '궁중떡찜', '배추겉절이', '나물비빔밥', '유기농식혜']"
58,2016-04-28,"['치킨무', '잡곡밥', '콩자반', '동그랑땡부침', '포기김치', '쌀밥', '미역국', '양념파닭']"
59,2016-04-29,"['깍두기', '고등어카레구이', '잡곡밥', '미트볼조림', '돈육김치찌개', '치커리사과무침', '쌀밥']"
60,2016-05-02,"['잡곡밥', '맛살겨자채', '비름나물', '포기김치', '쌀밥', '닭갈비', '시금치국']"
61,2016-05-03,"['곤드레밥', '온두부', '실곤약초무침', '볶은김치', '모둠장조림', '무채국']"
62,2016-05-04,"['쇠고기샤브국', '동태전', '잡곡밥', '오징어볶음', '무생채', '포기김치', '쌀밥']"
63,2016-05-09,"['잡곡밥', '무쌈', '훈제오리구이', '매운어묵국', '양파절임', '도토리묵무침', '포기김치', '쌀밥']"
64,2016-05-10,"['버섯불고기', '콩나물국', '잡곡밥', '시금치나물', '포기김치', '오징어초무침', '쌀밥']"
65,2016-05-11,"['멸치크랜베리볶음', '시래기된장국', '가지나물', '돈육칠리강정', '포기김치', '단호박영양밥']"
66,2016-05-12,"['통도라지구이', '오징어국', '잡곡밥', '찜닭', '꽃맛살볶음', '포기김치', '쌀밥']"
67,2016-05-13,"['매운돼지갈비찜', '해물파전', '치커리유자생채', '된장찌개', '잡곡밥', '배추겉절이', '쌀밥']"
68,2016-05-16,"['돈육굴소스볶음', '잡곡밥', '계란찜', '꽃상추무침', '감자고추장찌개', '포기김치', '쌀밥']"
69,2016-05-17,"['들깨버섯탕', '깍두기', '잡곡밥', '고등어김치말이', '고기전', '비름나물', '쌀밥']"
70,2016-05-18,"['미소장국', '치킨핑거', '산채비빔밥', '연근땅콩조림', '요플레', '포기김치']"
71,2016-05-19,"['열무된장국', '골뱅이무침*소면', '잡곡밥', '숙주나물', '포기김치', '미니채소떡갈비', '쌀밥']"
72,2016-05-20,"['순두부찌개', '잡곡밥', '새송이버섯전', '닭오븐구이', '불미나리무침', '포기김치', '쌀밥']"
73,2016-05-23,"['북어콩나물국', '잡곡밥', '쇠고기불고기', '옥수수전', '오이무침', '포기김치', '쌀밥']"
74,2016-05-24,"['석박지', '오징어숙회무침', '잡곡밥', '꼬지삼색전', '치커리생채', '한방갈비탕', '쌀밥']"
75,2016-05-25,"['미역장국', '낙지볶음밥', '우엉조림', '탕수어', '포기김치', '매실주스']"
76,2016-05-26,"['잡곡밥', '쇠고기해장국', '비엔나감자볶음', '갈치구이', '무생채', '포기김치', '쌀밥']"
77,2016-05-27,"['닭양념조림', '깍두기', '동그랑땡전', '잡곡밥', '배추된장국', '고구마순나물', '쌀밥']"
78,2016-05-30,"['누룽지탕수육', '오이도라지생채', '잡곡밥', '명태조림', '포기김치', '콩나물김치국', '쌀밥']"
79,2016-05-31,"['근대된장국', '잡곡밥', '깻잎양념지', '포기김치', '닭갈비', '잡채', '쌀밥']"
80,2016-06-01,"['강된장찌개', '음료', '포기김치', '열무비빔밥', '궁중떡볶이', '오징어튀김']"
81,2016-06-02,"['두부구이', '실곤약초무침', '잡곡밥', '모둠장조림', '포기김치', '오이미역냉국', '쌀밥']"
82,2016-06-03,"['머위대나물', '잡곡밥', '찜닭', '차돌박이찌개', '김치전', '포기김치', '쌀밥']"
83,2016-06-07,"['홍어채무침', '돈육굴소스볶음', '가지나물', '잡곡밥', '북어계란국', '포기김치', '쌀밥']"
84,2016-06-08,"['맛살콩나물냉채', '참치김치찌개', '깍두기', '잡곡밥', '브로컬리초장', '순살깐풍기', '쌀밥']"
85,2016-06-09,"['돼지갈비찜', '매운콩나물국', '잡곡밥', '부추전', '비름나물', '포기김치', '쌀밥']"
86,2016-06-10,"['된장찌개', '잡곡밥', '오징어볶음', '모둠소시지구이', '포기김치', '치커리사과무침', '쌀밥']"
87,2016-06-13,"['북어콩나물국', '잡곡밥', '모둠쌈', '제육볶음', '포기김치', '참치야채전', '쌀밥']"
88,2016-06-14,"['닭양념조림', '어묵볶음', '열무김치', '탕평채', '잡곡밥', '배추된장국', '쌀밥']"
89,2016-06-15,"['카레덮밥', '떡갈비조림', '맑은국', '쫄면무침', '포기김치', '열무된장나물']"
90,2016-06-16,"['가자미양념찜', '깍두기', '해초무침', '잡곡밥', '고기전', '부대찌개', '쌀밥']"
91,2016-06-17,"['김구이', '잡곡밥', '돈육강정', '꽃게탕', '버섯잡채', '포기김치', '쌀밥']"
92,2016-06-20,"['잡곡밥', '명태엿장조림', '레몬탕수육', '시금치나물', '포기김치', '쌀밥', '어묵국']"
93,2016-06-21,"['대구찌개', '치킨무', '잡곡밥', '마늘쫑볶음', '간장치킨', '오이무침', '포기김치', '쌀밥']"
94,2016-06-22,"['시래기국', '잡곡밥', '새송이버섯전', '포기김치', '돈삼겹보쌈', '콩나물파채무침', '상추쌈', '쌀밥']"
95,2016-06-23,"['메추리알조림', '매콤낙지볶음', '잡곡밥', '쇠고기무국', '포기김치', '숙주나물', '쌀밥']"
96,2016-06-24,"['목살데리야끼구이', '도토리묵냉국', '간장깻잎지', '잡곡밥', '골뱅이무침&소면', '포기김치', '쌀밥']"
97,2016-06-27,"['실곤약초무침', '쌈무', '잡곡밥', '배추된장국', '야채스틱', '훈제오리구이', '포기김치', '쌀밥']"
98,2016-06-28,"['고등어구이', '육개장', '잡곡밥', '닭가슴살냉채', '마늘쫑무침', '포기김치', '쌀밥']"
99,2016-06-29,"['상추겉절이', '콩나물국', '잡곡밥', '간장돼지갈비찜', '계란말이', '포기김치', '쌀밥']"
100,2016-06-30,"['열무김치', '잡곡밥', '닭오븐구이', '버섯들깨찌개', '김치전', '치커리사과무침', '쌀밥']"
101,2016-07-01,"['양배추쌈*쌈장', '유자청제육볶음', '잡곡밥', '수제비국', '두부새싹구이', '포기김치', '쌀밥']"
102,2016-07-04,"['버섯불고기', '잡곡밥', '노각무침', '감자고추장찌개', '맛살겨자초무침', '포기김치', '쌀밥']"
103,2016-07-05,"['비름나물', '잡곡밥', '배추겉절이', '모둠소세지구이', '쇠고기미역국', '쌀밥', '꽁치김치말이찜']"
104,2016-07-06,"['곤드레밥', '닭강정', '해물파전', '가쯔오장국', '통도라지구이', '포기김치']"
105,2016-07-07,"['된장찌개', '잡곡밥', '오이생채', '갈치조림', '포기김치', '돈육잡채', '쌀밥']"
106,2016-07-08,"['알타리김치', '감자볶음', '잡곡밥', '영양부추', '갈릭돈까스', '우무묵냉국', '쌀밥']"
107,2016-07-11,"['홍어채무침', '돈육굴소스볶음', '잡곡밥', '호박잎찌개', '모듬쌈*쌈장', '포기김치', '쌀밥']"
108,2016-07-12,"['도라지나물', '잡곡밥', '건새우아욱국', '꽃맛살볶음', '포기김치', '쌀밥', '순살파닭']"
109,2016-07-13,"['감자만두', '오이냉국', '나물비빔밥', '수박', '사천식탕수육', '포기김치']"
110,2016-07-14,"['알타리김치', '매운주꾸미볶음', '동태전', '잡곡밥', '배추된장국', '브로컬리두부무침', '쌀밥']"
111,2016-07-15,"['등갈비김치찜', '열무김치', '가지나물', '잡곡밥', '삼치구이', '북어계란국', '쌀밥']"
112,2016-07-18,"['돈육떡강정', '해초무침', '순두부찌개', '잡곡밥', '새송이버섯전', '포기김치', '쌀밥']"
113,2016-07-19,"['시래기국', '목살데리야끼', '늙은호박전', '잡곡밥', '포기김치', '치커리들깨무침', '쌀밥']"
114,2016-07-20,"['골뱅이무침*소면', '잡곡밥', '미트볼조림', '사골우거지탕', '포기김치', '청포묵무침', '쌀밥']"
115,2016-07-21,"['알타리김치', '잡곡밥', '명태엿장조림', '우묵콩국', '깻잎지', '고추장불고기', '쌀밥']"
116,2016-07-22,"['미소장국', '토마토', '고구마치즈구이', '참치회덮밥', '춘권', '포기김치', '락교']"
117,2016-07-25,"['불닭볶음', '쌈무', '잡곡밥', '참나물생채', '해파리겨자채', '쇠고기미역국', '포기김치', '쌀밥']"
118,2016-07-26,"['청국장찌개', '잡곡밥', '연근조림', '계란말이', '포기김치', '미니채소떡갈비', '쌀밥']"
119,2016-07-27,"['감자채볶음', '동파삼겹수육', '잡곡밥', '오이도라지무침', '수박', '포기김치', '쌀밥', '시금치국']"
120,2016-07-28,"['동그랑땡전', '잡곡밥', '콩자반', '배추겉절이', '꽃게탕', '훈제오리냉채', '쌀밥']"
121,2016-07-29,"['도토리묵냉국', '양배추피클', '마늘쫑무침', '연복풍덮밥', '포기김치', '꽁치오븐구이']"
122,2016-08-01,"['잡곡밥', '닭살겨자냉채', '꽈리고추찜', '갈치구이', '포기김치', '부대찌개*라면사리', '쌀밥']"
123,2016-08-02,"['알타리김치', '팽이장국', '웨지감자오븐구이', '유기농식혜', '꽃맛살볶음', '열무보리비빔밥']"
124,2016-08-03,"['메추리알조림', '잡곡밥', '레몬탕수육', '포기김치', '버섯들깨탕', '콩나물무침', '쌀밥']"
125,2016-08-04,"['시금치무침', '닭데리야끼조림', '복숭아미역냉국', '잡곡밥', '비엔나감자볶음', '포기김치', '쌀밥']"
126,2016-08-05,"['열무김치', '된장찌개', '잡곡밥', '무생채', '매콤돼지갈비찜', '연근', '오징어튀김', '쌀밥']"
127,2016-08-08,"['도라지초무침', '호박잎된장국', '유자청제육볶음', '잡곡밥', '오꼬노미계란말이', '포기김치', '쌀밥']"
128,2016-08-09,"['미니함박조림', '오징어브로컬리숙회', '콩나물국', '잡곡밥', '오이무침', '포기김치', '쌀밥']"
129,2016-08-10,"['우엉잡채', '사과오이냉국', '장어강정', '잡곡밥', '치커리생채', '포기김치', '쌀밥']"
130,2016-08-11,"['시래기국', '삼겹살오븐구이', '매운어묵볶음', '상추&마늘', '잡곡밥', '포기김치', '쌀밥']"
131,2016-08-12,"['고구마범벅', '맑은국', '노각무침', '불고기덮밥', '포기김치', '새우까스&탈탈소스']"
132,2016-08-16,"['알타리김치', '해초무침', '잡곡밥', '고등어조림', '닭곰탕', '비엔나피망볶음', '쌀밥']"
133,2016-08-17,"['잡곡밥', '오징어볶음', '고기전', '대구매운탕', '포기김치', '청경채무침', '쌀밥']"
134,2016-08-18,"['실곤약초무침', '열무된장국', '잡곡밥', '갈릭돈가스', '마늘쫑볶음', '포기김치', '쌀밥']"
135,2016-08-19,"['땅콩조림', '도토리묵냉국', '쑥갓두부무침', '포기김치', '단호박영양밥', '소고기숙주볶음']"
136,2016-08-22,"['잡곡밥', '꽁치와사비구이', '꽃게탕', '오이무침', '고추잡채*꽃빵', '포기김치', '쌀밥']"
137,2016-08-23,"['열무김치', '잡곡밥', '배추된장국', '두부조림', '칠리탕수육', '콩나물무침', '쌀밥']"
138,2016-08-24,"['치커리유자청무침', '잡곡밥', '연근조림', '해물된장찌개', '포기김치', '쌀밥', '닭볶음']"
139,2016-08-25,"['육개장', '잡곡밥', '부추전', '올방개묵무침', '동태무조림', '포기김치', '쌀밥']"
140,2016-08-26,"['홍어채무침', '떡국', '마늘치킨', '잡곡밥', '꽃맛살오리엔탈샐러드', '포기김치', '쌀밥']"
141,2016-08-29,"['골뱅이무침*소면', '순두부찌개', '아삭고추무침', '잡곡밥', '소불고기', '포기김치', '쌀밥']"
142,2016-08-30,"['잡곡밥', '호박잎쌈*양념', '갈치구이', '포기김치', '쌀밥', '모듬소시지볶음', '버섯매운탕']"
143,2016-08-31,"['단무지무침', '열무김치', '낙지비빔밥', '가쯔오장국', '계란말이', '과일샐러드']"
144,2016-09-01,"['오징어국', '목살데리야끼', '잡곡밥', '브로컬리초장', '버섯잡채', '포기김치', '쌀밥']"
145,2016-09-02,"['해물파전', '시래기된장국', '잡곡밥', '닭찜', '포기김치', '청경채무침', '쌀밥']"
146,2016-09-05,"['쇠고기샤브국', '연두부*양념', '잡곡밥', '옥수수전', '오징어볶음', '포기김치', '쌀밥']"
147,2016-09-06,"['모둠버섯볶음', '파김치', '잡곡밥', '가자미카레튀김', '참나물땅콩무침', '부대찌개', '쌀밥']"
148,2016-09-07,"['곤드레밥', '돈육떡강정', '두부맑은국', '계란찜', '오이무침', '포기김치']"
149,2016-09-08,"['알타리김치', '콩나물잡채', '부추생채', '된장찌개', '잡곡밥', '오리고추장볶음', '쌀밥']"
150,2016-09-09,"['황태맑은국', '잡곡밥', '유린기', '숙주나물', '도토리묵무침', '포기김치', '쌀밥']"
151,2016-09-12,"['상추겉절이', '시래기국', '깍두기', '잡곡밥', '동그랑땡', '쌀밥', '닭볶음']"
152,2016-09-13,"['어묵볶음', '매운돼지갈비찜', '잡곡밥', '토란국', '포기김치', '쑥갓두부무침', '쌀밥']"
153,2016-09-19,"['애호박나물', '잡곡밥', '계란말이', '오리훈제고추장볶음', '포기김치', '쌀밥', '어묵국']"
154,2016-09-20,"['감자채볶음', '잡곡밥', '참나물생채', '얼갈이된장국', '레몬탕수육', '포기김치', '쌀밥']"
155,2016-09-21,"['땅콩조림', '팽이장국', '깍두기', '너비아니구이', '음료', '핫도그', '열무비빔밥']"
156,2016-09-22,"['단배추나물', '잡곡밥', '임연수찜', '햄피망볶음', '쇠고기무국', '포기김치', '쌀밥']"
157,2016-09-23,"['오징어국', '잡곡밥', '두부조림', '무생채', '포기김치', '쌀밥', '소고기숙주볶음']"
158,2016-09-26,"['우엉잡채', '유자청돈육볶음', '양배추쌈&쌈장', '잡곡밥', '아욱된장국', '포기김치', '쌀밥']"
159,2016-09-27,"['잡곡밥', '쫄면무침', '열무된장나물', '간장파닭', '포기김치', '느타리버섯국', '쌀밥']"
160,2016-09-28,"['카레덮밥', '맑은국', '새송이버섯조림', '오이무침', '포기김치', '샐러드파스타']"
161,2016-09-29,"['호박부추전', '된장찌개', '잡곡밥', '올방개묵무침', '돈육장조림', '포기김치', '쌀밥']"
162,2016-09-30,"['알타리김치', '우거지해장국', '가지볶음', '꽁치한마리구이', '잡곡밥', '브로컬리초장', '쌀밥']"
163,2016-10-04,"['버섯불고기', '잡곡밥', '배추된장국', '마늘쫑건새우볶음', '골뱅이소면무침', '포기김치', '쌀밥']"
164,2016-10-05,"['모둠소세지구이', '매운주꾸미볶음', '잡곡밥', '차돌박이찌개', '포기김치', '콩나물무침', '쌀밥']"
165,2016-10-06,"['오징어숙회무침', '잡곡밥', '새송이전', '배추겉절이', '동태', '쌀밥', '미역국', '한방소갈비찜']"
166,2016-10-07,"['메추리알곤약조림', '부추생채', '표고돈육탕수', '잡곡밥', '대구매운탕', '포기김치', '쌀밥']"
167,2016-10-10,"['쇠고기샤브국', '맛살계란말이', '잡곡밥', '오징어볶음', '참나물무침', '포기김치', '쌀밥']"
168,2016-10-11,"['시금치된장국', '목살스테이크', '잡곡밥', '배추겉절이', '오이무침', '버섯잡채', '쌀밥']"
169,2016-10-12,"['오렌지주스', '생선커틀릿', '*타르타르소스', '팽이버섯국', '산채비빔밥*강된장', '오복지무침', '포기김치']"
170,2016-10-13,"['떡국', '마늘치킨', '모듬묵*양념장', '잡곡밥', '열무된장나물', '포기김치', '쌀밥']"
171,2016-10-14,"['애호박나물', '등갈비김치찜', '건새우무국', '잡곡밥', '계란버섯장조림', '포기김치', '쌀밥']"
172,2016-10-17,"['매운어묵볶음', '잡곡밥', '모둠양채쌈', '소불고기', '포기김치', '미역국', '쌀밥']"
173,2016-10-18,"['치커리유자청무침', '미트볼칠리조림', '잡곡밥', '꽃게탕', '부추전', '포기김치', '쌀밥']"
174,2016-10-19,"['참치김치찌개', '잡곡밥', '유린기', '셀프무쌈말이', '포기김치', '멸치크렌베리볶음', '쌀밥']"
175,2016-10-20,"['알타리김치', '꽁치김치말이', '잡곡밥', '메밀버섯전', '돈신탕(해장탕)', '쑥갓두부무침', '쌀밥']"
176,2016-10-21,"['계란국', '단무지', '짜장밥', '풍기샐러드', '사천식탕수육', '포기김치']"
177,2016-10-24,"['해물파전', '된장찌개', '잡곡밥', '제육볶음', '포기김치', '콩나물무침', '쌀밥']"
178,2016-10-25,"['육개장', '깍두기', '잡곡밥', '미역레몬초무침', '갈치구이', '고추잡채*꽃빵', '쌀밥']"
179,2016-10-26,"['곤드레밥', '실곤약초무침', '땅콩조림', '데리야끼파닭', '배추된장국', '포기김치']"
180,2016-10-27,"['두부계란전', '해초무침', '잡곡밥', '돈육장조림', '포기김치', '동태찌개', '쌀밥']"
