,일자,중식메뉴
181,2016-10-28,"['알타리김치', '잡곡밥', '고등어조림', '비엔나감자볶음', '통도라지구이', '버섯들깨탕', '쌀밥']"
182,2016-10-31,"['홍어채무침', '쇠고기숙주볶음', '근대된장국', '잡곡밥', '새송이버섯전', '포기김치', '쌀밥']"
183,2016-11-01,"['생선까스*탈탈소스', '알탕', '잡곡밥', '시금치나물', '포기김치', '닭갈비', '쌀밥']"
184,2016-11-02,"['콩나물밥', '훈제오리', '가쯔오장국', '무쌈', '부추겉절이', '양파절임', '포기김치']"
185,2016-11-03,"['세발나물', '잡곡밥', '계란말이', '쇠고기무국', '쭈꾸미볶음', '포기김치', '쌀밥']"
186,2016-11-04,"['모듬소세지구이', '석박지', '잡곡밥', '명태엿장조림', '오이무침', '사골우거지탕', '쌀밥']"
187,2016-11-07,"['상추파채무침', '오징어국', '유자청제육볶음', '잡곡밥', '날치알계란찜', '포기김치', '쌀밥']"
188,2016-11-08,"['동그랑땡전', '잡곡밥', '깻잎지', '차돌박이찌개', '포기김치', '순살양념치킨', '쌀밥']"
189,2016-11-09,"['연근조림', '꽃게탕', '무생채', '귤', '고추잡채*꽃빵', '포기김치', '단호박영양밥']"
190,2016-11-10,"['알타리김치', '멸치아몬드볶음', '잡곡밥', '김치콩나물국', '닭살겨자채', '쇠고기장조림', '쌀밥']"
191,2016-11-11,"['치커리무침', '동태전', '잡곡밥', '아욱된장국', '칠리탕수육', '포기김치', '쌀밥']"
192,2016-11-14,"['부추호박전', '소고기버섯볶음', '오징어숙회무침', '잡곡밥', '포기김치', '쌀밥', '어묵국']"
193,2016-11-15,"['닭데리야끼조림', '잡곡밥', '햄감자채볶음', '김치국', '브로컬리무침', '포기김치', '쌀밥']"
194,2016-11-16,"['조랭이떡미역국', '버섯영양밥', '유산슬', '임연수구이', '포기김치', '청경채무침']"
195,2016-11-17,"['깍두기', '잡곡밥', '풋고추*양파', '해물김치전', '올방개묵무침', '쌀밥', '설렁탕']"
196,2016-11-18,"['쌀밥', '어묵볶음', '쌈다시마초장', '잡곡밥', '갓김치', '순살깐풍기', '콩비지찌개']"
197,2016-11-21,"['누룽지탕수육', '도라지초무침', '시래기된장국', '잡곡밥', '계란찜', '포기김치', '쌀밥']"
198,2016-11-22,"['쇠고기숙주볶음', '새싹두부구이', '잡곡밥', '대구매운탕', '오이생채', '포기김치', '쌀밥']"
199,2016-11-23,"['갈치조림', '잡곡밥', '파닭', '순두부탕', '포기김치', '청포묵무침', '쌀밥']"
200,2016-11-24,"['우엉잡채', '잡곡밥', '수제비국', '짬뽕불고기', '참나물', '포기김치', '쌀밥']"
201,2016-11-25,"['카레덮밥', '맑은국', '베추겉절이', '연근땅콩조림', '통감자오븐구이', '샐러드파스타']"
202,2016-11-28,"['쇠고기느타리국', '잡곡밥', '오징어볶음', '모둠소시지구이', '물파래무침', '포기김치', '쌀밥']"
203,2016-11-29,"['늙은호박전', '잡곡밥', '모둠쌈', '제육볶음', '근대국', '포기김치', '쌀밥']"
204,2016-11-30,"['감자샐러드', '치킨핑거*요거트D', '가쯔오장국', '나물비빔밥', '오복지무침', '포기김치']"
205,2016-12-01,"['알타리김치', '골뱅이무침*소면', '콩나물국', '잡곡밥', '모둠장조림', '톳두부무침', '쌀밥']"
206,2016-12-02,"['떡국', '잡곡밥', '콩나물겨자채', '포기김치', '양념찜닭', '청경채무침', '쌀밥']"
207,2016-12-05,"['순두부찌개', '잡곡밥', '훈제오리구이', '포기김치', '참치야채전', '무쌈말이', '쌀밥']"
208,2016-12-06,"['삼겹살오븐구이', '무말랭이', '잡곡밥', '배추쌈', '포기김치', '홍합탕', '실곤약흑임자무침', '쌀밥']"
209,2016-12-07,"['아이스슈', '유부장국', '개성감자만두', '쨔샤이무침', '해물누룽지탕', '짜장밥', '포기김치']"
210,2016-12-08,"['알타리김치', '아욱국', '버섯메밀전', '잡곡밥', '상추초무침', '양념돼지갈비찜', '쌀밥']"
211,2016-12-09,"['차돌박이된장찌개', '잡곡밥', '닭가슴살냉채', '마늘쫑무침', '삼치무조림', '포기김치', '쌀밥']"
212,2016-12-12,"['돈육굴소스볶음', '깍두기', '잡곡밥', '다시마*브로컬리', '매운어묵무침', '콩나물김치국', '쌀밥']"
213,2016-12-13,"['잡곡밥', '오이도라지무침', '코다리강정', '포기김치', '쌀밥', '돈육잡채', '냉이된장찌개']"
214,2016-12-14,"['소불고기덮밥', '가쯔오장국', '고구마튀김', '포기김치', '멕시칸샐러드', '청경채무침']"
215,2016-12-15,"['부추생채', '잡곡밥', '옥수수계란찜', '오리고추장볶음', '포기김치', '쌀밥', '콩비지찌개']"
216,2016-12-16,"['쇠고기샤브국', '아삭고추무침', '잡곡밥', '갈치구이', '포기김치', '비엔케찹볶음', '쌀밥']"
217,2016-12-19,"['감자채볶음', '잡곡밥', '배추된장국', '짬뽕불고기', '하루나겉절이', '포기김치', '쌀밥']"
218,2016-12-20,"['깍두기', '꽁치김치말이', '콩나물국', '잡곡밥', '올방개묵무침', '고추잡채*꽃빵', '쌀밥']"
219,2016-12-21,"['홍어채무침', '된장찌개', '잡곡밥', '가지나물', '마늘간장치킨', '포기김치', '쌀밥']"
220,2016-12-22,"['쇠고기버섯볶음', '양배추쌈*쌈장', '잡곡밥', '꽃게탕', '오이무침', '포기김치', '쌀밥']"
221,2016-12-23,"['치커리유자청무침', '떡갈비조림', '동태전', '잡곡밥', '얼갈이국', '포기김치', '쌀밥']"
222,2016-12-26,"['돈육간장불고기', '풋마늘대무침', '잡곡밥', '두부새싹구이', '포기김치', '동태찌개', '쌀밥']"
223,2016-12-27,"['우엉잡채', '열무된장국', '잡곡밥', '포기김치', '닭갈비', '쌀밥']"
224,2016-12-28,"['꽃맛살샐러드', '콩나물밥', '미트볼케찹조림', '가쯔오장국', '배추겉절이', '군고구마']"
225,2016-12-29,"['시래기국', '잡곡밥', '오징어볶음*소면', '쑥갓두부무침', '포기김치', '소세지감자조림', '쌀밥']"
226,2016-12-30,"['꽈리고추어묵볶음', '순두부찌개', '잡곡밥', '수제돈까스', '포기김치', '물미역초장', '쌀밥']"
227,2017-01-02,"['사골떡국', '부추깻잎전', '쇠고기낙지볶음', '잡곡밥', '통도라지구이', '포기김치', '쌀밥']"
228,2017-01-03,"['언양식불고기', '콩나물파채절이', '잡곡밥', '포기김치', '쌀밥', '홍합탕', '매운동태찜']"
229,2017-01-04,"['곤드레밥', '황태국', '동그랑땡전', '꽈리고추멸치볶음', '배추겉절이', '비빔메밀국수']"
230,2017-01-05,"['육개장', '굴비구이', '잡곡밥', '청경채생채', '두반장감자볶음', '포기김치', '쌀밥']"
231,2017-01-06,"['주꾸미초무침', '어묵볶음', '된장찌개', '잡곡밥', '레몬탕수육', '포기김치', '쌀밥']"
232,2017-01-09,"['콩나물국', '잡곡밥', '무쌈말이', '쫑상추무침', '포기김치', '동파육', '쌀밥']"
233,2017-01-10,"['잡곡밥', '주꾸미떡볶음', '고기전', '쇠고기미역국', '두반장가지볶음', '포기김치', '쌀밥']"
234,2017-01-11,"['팽이장국', '비빔밥', '생선까스', '오복지무침', '씨리얼과일샐러드', '포기김치']"
235,2017-01-12,"['잡곡밥', '봄동된장무침', '배추겉절이', '매운닭찜', '모듬버섯구이*초장', '쌀밥', '어묵국']"
236,2017-01-13,"['미니함박조림', '치커리유자생채', '잡곡밥', '짬뽕국', '포기김치', '잡채', '쌀밥']"
237,2017-01-16,"['꽃맛살햄볶음', '잡곡밥', '오징어볶음*소면', '얼갈이된장국', '참나물땅콩무침', '포기김치', '쌀밥']"
238,2017-01-17,"['쇠고기숙주볶음', '순두부찌개', '잡곡밥', '삼색묵무침', '시금치초생채', '포기김치', '쌀밥']"
239,2017-01-18,"['아욱국', '잡곡밥', '무쌈', '옥수수전', '배추겉절이', '훈제오리구이', '부추무침', '쌀밥']"
240,2017-01-19,"['유자청돈육볶음', '잡곡밥', '수제비국', '두부새싹구이', '포기김치', '청경채무침', '쌀밥']"
241,2017-01-20,"['비엔나케찹볶음', '잡곡밥', '닭개장', '가자미카레튀김', '포기김치', '파래김*양념장', '쌀밥']"
242,2017-01-23,"['냉이콩나물국', '잡곡밥', '새송이버섯전', '마늘쫑무침', '포기김치', '쌀밥', '닭볶음']"
243,2017-01-24,"['감자채볶음', '깻잎찜', '알탕', '돈육간장불고기', '잡곡밥', '포기김치', '쌀밥']"
244,2017-01-25,"['카레덮밥', '맑은국', '개성감자만두', '유린기', '오이사과무침', '포기김치']"
245,2017-01-26,"['잡곡밥', '배추된장국', '삼색꼬지전', '포기김치', '쌀밥', '콩나물무침', '소갈비찜']"
246,2017-01-31,"['잡곡밥', '언양식불고기*양파채', '진미채무침', '양잡피잡채', '포기김치', '미역국', '쌀밥']"
247,2017-02-01,"['모듬쌈', '시금치된장국', '잡곡밥', '닭살겨자채', '포기김치', '고추장불고기', '쌀밥']"
248,2017-02-02,"['알타리김치', '잡곡밥', '굴김치두부국', '스위트칠리미트볼', '갈치구이', '치커리생채', '쌀밥']"
249,2017-02-03,"['콩나물국', '잡곡밥', '무생채', '소고기낙지볶음', '연두부찜', '포기김치', '쌀밥']"
250,2017-02-06,"['단배추나물', '감자전', '잡곡밥', '포기김치', '쌀밥', '닭갈비', '냉이된장찌개']"
251,2017-02-07,"['잡곡밥', '땅콩멸치볶음', '실곤약무침', '유산슬', '대구매운탕', '포기김치', '쌀밥']"
252,2017-02-08,"['춘권*칠리소스', '콩나물밥', '맑은국', '물미역무침', '닭오븐구이', '포기김치']"
253,2017-02-09,"['알타리김치', '잡곡밥', '수제돈까스', '치커리생채', '명태조림', '배추국', '쌀밥']"
254,2017-02-10,"['김구이', '굴비구이', '홍어무침', '보름나물', '포기김치', '오곡밥', '소고기무국']"
255,2017-02-13,"['잡곡밥', '제육볶음', '도라지오이생채', '두부구이*양념장', '쇠고기미역국', '포기김치', '쌀밥']"
256,2017-02-14,"['된장찌개', '잡곡밥', '배추겉절이', '주꾸미볶음', '숙주나물', '돈육잡채', '쌀밥']"
257,2017-02-15,"['다시마쌈', '들깨시래기국', '잡곡밥', '해물김치전', '포기김치', '쌀밥', '순살파닭']"
258,2017-02-16,"['잡곡밥', '얼갈이나물', '소불고기', '포기김치', '홍합탕', '오징어초무침', '쌀밥']"
259,2017-02-17,"['등갈비김치찜', '깍두기', '동태전', '잡곡밥', '부추무침', '쌀밥', '어묵국']"
260,2017-02-20,"['치커리유자무침', '열무된장국', '잡곡밥', '새송이버섯전', '포기김치', '동파육', '쌀밥']"
261,2017-02-21,"['취나물', '잡곡밥', '배추겉절이', '야채계란찜', '낙지볶음', '버섯들깨탕', '쌀밥']"
262,2017-02-22,"['생선까스*탈탈소스', '알타리김치', '유부장국', '마늘쫑볶음', '나물비빔밥', '파스타샐러드']"
263,2017-02-23,"['돼지갈비찜', '메추리알조림', '콩나물국', '잡곡밥', '브로컬리초장', '포기김치', '쌀밥']"
264,2017-02-24,"['어묵볶음', '톳무침', '잡곡밥', '수제비국', '깐풍기', '포기김치', '쌀밥']"
265,2017-02-27,"['잡곡밥', '훈제오리구이', '봄동된장국', '양파절임', '오이부추무침', '포기김치', '녹두김치전', '쌀밥']"
266,2017-02-28,"['사골떡국', '언양식불고기', '잡곡밥', '배추겉절이', '돌나물무침', '콩나물동태찜', '쌀밥']"
267,2017-03-02,"['깍두기', '해초무침', '잡곡밥', '고등어조림', '돈육김치찌개', '팝콘치킨*데리마요', '쌀밥']"
268,2017-03-03,"['카레덮밥', '맑은국', '군만두', '무피클', '포기김치', '미니채소떡갈비']"
269,2017-03-06,"['동그랑땡전', '잡곡밥', '순살닭갈비', '포기김치', '쌀밥', '치커리사과무침', '어묵국']"
270,2017-03-07,"['봄동달래무침', '토란탕', '꽁치한마리구이', '잡곡밥', '돈육칠리강정', '포기김치', '쌀밥']"
271,2017-03-08,"['곤드레밥*강된장', '고추간장지', '오징어볶음', '미소국', '햄감자채볶음', '포기김치']"
272,2017-03-09,"['아욱국', '마늘치킨', '석박지', '골뱅이무침*소면', '잡곡밥', '숙주나물', '쌀밥']"
273,2017-03-10,"['잡곡밥', '얼큰순두부찌개', '도라지오이생채', '계란말이', '해물청경채볶음', '포기김치', '쌀밥']"
274,2017-03-13,"['오징어국', '버섯불고기', '잡곡밥', '야채계란찜', '포기김치', '파래김*양념장', '쌀밥']"
275,2017-03-14,"['우엉잡채', '미트볼케찹조림', '잡곡밥', '방풍나물', '포기김치', '동태찌개', '쌀밥']"
276,2017-03-15,"['잡곡밥', '옥수수전', '근대국', '건새우마늘쫑볶음', '포기김치', '양념찜닭', '쌀밥']"
277,2017-03-16,"['돈육굴소스볶음', '모듬쌈', '잡곡밥', '옹심이만두국', '콩나물겨자채', '포기김치', '쌀밥']"
278,2017-03-17,"['고추장찌개', '잡곡밥', '연근땅콩조림', '배추겉절이', '시금치나물', '치킨커틀렛', '쌀밥']"
279,2017-03-20,"['아욱국', '상추무침', '잡곡밥', '맛살전', '콩나물불고기', '포기김치', '쌀밥']"
280,2017-03-21,"['포기김치', '굴비구이', '부추생채', '잡곡밥', '쇠고기장조림', '쌀밥', '냉이된장찌개']"
281,2017-03-22,"['깍두기', '세발나물', '잡곡밥', '유린기', '비엔나볶음', '돈육김치찌개', '쌀밥']"
282,2017-03-23,"['돼지갈비찜', '물파래전', '잡곡밥', '통도라지구이', '포기김치', '쌀밥', '콩가루배추국']"
283,2017-03-24,"['김구이', '잡곡밥', '올방개묵무침', '대구매운탕', '고추잡채*꽃빵', '포기김치', '쌀밥']"
284,2017-03-27,"['알탕', '잡곡밥', '얼갈이나물', '오꼬노미계란말이', '포기김치', '쌀밥', '소고기숙주볶음']"
285,2017-03-28,"['탕평채', '잡곡밥', '소고기미역국', '주꾸미볶음', '시금치나물', '포기김치', '쌀밥']"
286,2017-03-29,"['땅콩조림', '팽이장국', '언양식불고기', '바나나', '포기김치', '봄나물비빔밥']"
287,2017-03-30,"['북어콩나물국', '잡곡밥', '사천식탕수육', '김치전', '포기김치', '쑥갓두부무침', '쌀밥']"
288,2017-03-31,"['쇠고기무국(빨갛게)', '닭가슴살장조림', '생선커틀렛', '잡곡밥', '포기김치', '콩나물무침', '쌀밥']"
289,2017-04-03,"['훈제오리(마늘만)', '쌈무', '잡곡밥', '오이달래무침', '꽃게탕', '양파절임', '포기김치', '쌀밥']"
290,2017-04-04,"['쇠불고기', '된장찌개', '잡곡밥', '동태전', '배추겉절이', '도토리묵무침', '쌀밥']"
291,2017-04-05,"['단무지무침', '부추만두', '유산슬', '짜장밥', '포기김치', '맑은계란국']"
292,2017-04-06,"['마늘치킨', '잡곡밥', '감자채전', '크래미숙주무침', '근대국', '포기김치', '쌀밥']"
293,2017-04-07,"['육개장', '잡곡밥', '버섯구이*발사믹D', '참나물생채', '포기김치', '미니채소떡갈비', '쌀밥']"
294,2017-04-10,"['쇠고기낙지볶음', '잡곡밥', '얼갈이국', '날치알계란찜', '비름나물', '포기김치', '쌀밥']"
295,2017-04-11,"['우엉잡채', '열무김치', '잡곡밥', '해물누룽지탕', '청경채무침', '김치찌개', '쌀밥']"
296,2017-04-12,"['맛살콩나물냉채', '삼겹살오븐구이', '잡곡밥', '들깨미역국', '파채상추무침', '포기김치', '쌀밥']"
297,2017-04-13,"['황태국', '매운어묵볶음', '닭데리야끼조림', '잡곡밥', '시금치나물', '포기김치', '쌀밥']"
298,2017-04-14,"['쇠고기샤브국', '메추리알조림', '잡곡밥', '오징어볶음', '머위된장나물', '포기김치', '쌀밥']"
299,2017-04-17,"['돈육굴소스볶음', '오징어숙회무침', '된장찌개', '잡곡밥', '방풍나물', '포기김치', '쌀밥']"
300,2017-04-18,"['들깨시래기국', '얼갈이겉절이', '잡곡밥', '시금치프리타타', '도라지생채', '쇠고기장조림', '쌀밥']"
301,2017-04-19,"['곤드레밥', '맑은국', '쫄면무침', '요플레', '탕수어', '포기김치']"
302,2017-04-20,"['아욱국', '등갈비김치찜', '열무김치', '가지나물', '잡곡밥', '참치야채전', '쌀밥']"
303,2017-04-21,"['부추생채', '브로컬리맛살볶음', '버섯불고기', '잡곡밥', '포기김치', '콩나물김치국', '쌀밥']"
304,2017-04-24,"['언양식불고기', '계란장조림', '잡곡밥', '아삭고추된장무침', '부대찌개', '포기김치', '쌀밥']"
305,2017-04-25,"['닭강정', '콩나물잡채', '잡곡밥', '차돌박이찌개', '도토리묵무침', '포기김치', '쌀밥']"
306,2017-04-26,"['맑은국', '깍두기', '비빔밥', '견과류조림', '하와이안샐러드', '오징어튀김']"
307,2017-04-27,"['열무김치', '잡곡밥', '영양부추생채', '매콤함박스테이크', '삼치구이', '미역국', '쌀밥']"
308,2017-04-28,"['곤약야채무침', '꽃게찌개', '잡곡밥', '배추겉절이', '숙주나물', '탕수육', '쌀밥']"
309,2017-05-02,"['참치김치찌개', '부추생채', '열무김치', '쌈무', '잡곡밥', '훈제오리구이', '올방개묵무침', '양파절임', '쌀밥']"
310,2017-05-04,"['잡곡밥', '생선까스*타르소스', '들깨미역국', '무생채', '포기김치', '닭갈비', '쌀밥']"
311,2017-05-08,"['홍어채무침', '머위대들깨볶음', '쇠불고기', '고추장찌개', '잡곡밥', '포기김치', '쌀밥']"
312,2017-05-10,"['된장찌개', '잡곡밥', '제육볶음', '포기김치', '콩나물무침', '잡채', '쌀밥']"
313,2017-05-11,"['깍두기', '잡곡밥', '새송이버섯전', '비름나물', '낙지볶음', '쌀밥', '콩가루배추국']"
314,2017-05-12,"['옹심이만두떡국', '카레감자채볶음', '잡곡밥', '유린기', '마늘쫑무침', '포기김치', '쌀밥']"
315,2017-05-15,"['치커리유자청무침', '매운어묵볶음', '열무김치', '잡곡밥', '돈육꽈리고추볶음', '쌀밥', '콩비지찌개']"
316,2017-05-16,"['쇠고기샤브국', '양념깻잎지', '잡곡밥', '오징어볶음', '맛살계란찜', '포기김치', '쌀밥']"
317,2017-05-17,"['열무된장국', '미나리오이무침', '동태전', '잡곡밥', '쇠고기장조림', '포기김치', '쌀밥']"
318,2017-05-18,"['깍두기', '굴비구이', '잡곡밥', '부대찌개', '고추잡채*꽃빵', '청경채무침', '쌀밥']"
319,2017-05-19,"['새우살미역국', '잡곡밥', '참나물생채', '콩나물겨자채', '포기김치', '순살양념치킨', '쌀밥']"
320,2017-05-22,"['시금치된장국', '양배추*쌈', '잡곡밥', '버섯구이*발사믹D', '제육볶음', '포기김치', '쌀밥']"
321,2017-05-23,"['간장찜닭', '해초무침', '소고기국', '잡곡밥', '부추전', '포기김치', '쌀밥']"
322,2017-05-24,"['고등어구이', '콩나물밥', '열무김치', '고추지', '감자프리타타', '김치국']"
323,2017-05-25,"['오리불고기', '상추겉절이', '들깨시래기국', '잡곡밥', '오이소박이', '두부조림', '쌀밥']"
324,2017-05-26,"['동그랑땡전', '부추생채', '콩나물국', '잡곡밥', '주꾸미떡볶음', '포기김치', '쌀밥']"
325,2017-05-29,"['황태국', '청경채사과생채', '잡곡밥', '계란찜', '소불고기', '포기김치', '쌀밥']"
326,2017-05-30,"['동파삼겹수육', '아삭고추무침', '잡곡밥', '얼갈이된장국', '맛살전', '포기김치', '쌀밥']"
327,2017-05-31,"['탕수만두', '콥샐러드', '오이지무침', '가쯔오장국', '포기김치', '열무보리비빔밥']"
328,2017-06-01,"['어묵볶음', '등갈비김치찜', '깍두기', '오이냉국', '잡곡밥', '참나물땅콩무침', '쌀밥']"
329,2017-06-02,"['모듬소세지볶음', '삼치된장구이', '잡곡밥', '배추겉절이', '돈육김치찌개', '도토리묵무침', '쌀밥']"
330,2017-06-05,"['돈육굴소스볶음', '잡곡밥', '모둠쌈', '계란말이', '씨앗쌈장', '근대국', '포기김치', '쌀밥']"
331,2017-06-07,"['부추생채', '쌈무', '콩나물국', '잡곡밥', '새송이버섯전', '훈제오리구이', '포기김치', '쌀밥']"
332,2017-06-08,"['골뱅이무침*소면', '잡곡밥', '배추겉절이', '얼갈이된장국', '숙주나물', '미니채소떡갈비', '쌀밥']"
333,2017-06-09,"['호박잎된장찌개', '실곤약초무침', '잡곡밥', '깐풍기', '어묵꽈리고추볶음', '포기김치', '쌀밥']"
334,2017-06-12,"['홍어채무침', '쇠고기숙주볶음', '잡곡밥', '고구마순나물', '연두부탕', '포기김치', '쌀밥']"
335,2017-06-13,"['치커리사과생채', '도토리묵냉국', '깍두기', '늙은호박전', '잡곡밥', '쭈꾸미볶음', '쌀밥']"
336,2017-06-14,"['치킨핑거', '곤드레밥*강된장', '견과류조림', '가쯔오장국', '파스타샐러드', '포기김치']"
337,2017-06-15,"['쇠고기샤브국', '메추리알조림', '잡곡밥', '배추겉절이', '무생채', '갈치구이', '쌀밥']"
338,2017-06-16,"['감자채볶음', '잡곡밥', '아욱된장국', '쫑상추무침', '포기김치', '삼겹살구이', '쌀밥']"
339,2017-06-19,"['오이도라지생채', '들깨시래기국', '유자청제육볶음', '잡곡밥', '해물부추전', '포기김치', '쌀밥']"
340,2017-06-20,"['열무김치', '잡곡밥', '고등어김치말이', '연근조림', '오이지냉국', '감자비엔나볶음', '쌀밥']"
341,2017-06-21,"['유부주머니국', '떡볶이', '언양식불고기', '카레라이스', '수박', '포기김치']"
342,2017-06-22,"['양념깻잎지', '잡곡밥', '해물누룽지탕', '쇠고기미역국', '포기김치', '비빔야채만두', '쌀밥']"
343,2017-06-23,"['잡곡밥', '나가사끼짬뽕국', '셀프무쌈말이', '콩나물무침', '포기김치', '닭갈비', '쌀밥']"
344,2017-06-26,"['잡곡밥', '양배추쌈*양념장', '훈제오리고추장볶음', '곤약흑임자무침', '차돌박이찌개', '포기김치', '쌀밥']"
345,2017-06-27,"['북어콩나물국', '잡곡밥', '오징어볶음', '동그랑땡구이', '시금치나물', '포기김치', '쌀밥']"
346,2017-06-28,"['콩나물밥', '깍두기', '아삭고추무침', '얼갈이된장국', '삼치구이', '잡채']"
347,2017-06-29,"['두부양념조림', '부추생채', '잡곡밥', '갈릭돈까스', '우무묵냉국', '포기김치', '쌀밥']"
348,2017-06-30,"['열무김치', '꼬지어묵탕', '잡곡밥', '감자채전', '매운닭찜', '미역줄기볶음', '쌀밥']"
349,2017-07-03,"['콩나물국', '잡곡밥', '계란찜', '짬뽕불고기', '청경채겉절이', '포기김치', '쌀밥']"
350,2017-07-04,"['잡곡밥', '배추된장국', '고기전', '미역레몬초무침', '낙지볶음', '포기김치', '쌀밥']"
351,2017-07-05,"['사과', '군만두', '열무김치', '짜장덮밥', '계란국', '유산슬', '단무지']"
352,2017-07-06,"['알타리김치', '어묵볶음', '등갈비김치찜', '잡곡밥', '아욱된장국', '참나물', '쌀밥']"
353,2017-07-07,"['오이냉국', '잡곡밥', '유린기', '숙주나물', '도토리묵무침', '포기김치', '쌀밥']"
354,2017-07-10,"['버섯불고기', '해물겨자냉채', '콩나물국', '잡곡밥', '우엉조림', '포기김치', '쌀밥']"
355,2017-07-11,"['잡곡밥', '주꾸미떡볶음', '두부계란구이', '브로컬리초장', '포기김치', '쌀밥', '어묵국']"
356,2017-07-12,"['깍두기', '찹쌀밥', '수박', '생야채&쌈장', '<초복특식>', '삼계탕']"
357,2017-07-13,"['돼지갈비찜', '치커리유자청무침', '동태전', '잡곡밥', '근대국', '포기김치', '쌀밥']"
358,2017-07-14,"['알타리김치', '잡곡밥', '버섯잡채', '부대찌개', '갈치조림', '쑥갓두부무침', '쌀밥']"
359,2017-07-17,"['모듬양채쌈', '잡곡밥', '돈육고추장볶음', '무채국', '포기김치', '간장두부조림', '쌀밥']"
360,2017-07-18,"['치커리무침', '간장찜닭', '열무된장국', '잡곡밥', '통도라지구이', '포기김치', '쌀밥']"
361,2017-07-19,"['양장피잡채', '오꼬노미야끼', '알타리김치', '맑은국', '김치제육덮밥', '천도복숭아']"
362,2017-07-20,"['오징어굴소스볶음', '잡곡밥', '모둠버섯구이', '오이무침', '포기김치', '쌀밥', '소고기매운무국']"
